Key,Name,Status,Precondition,Objective,Folder,Priority,Component,Labels,Owner,Estimated Time,Coverage (Issues),Coverage (Pages),Test Script (Step-by-Step) - Step,Test Script (Step-by-Step) - Test Data,Test Script (Step-by-Step) - Expected Result,Test Script (Plain Text),Test Script (BDD)
,,,,,,,,,,,,,"Tap the ""Profile"" Icon.",,Navigate to the Profile page.,,
,,,,,,,,,,,,,Tap the item.,,Navigate to item information.,,
,,,,,,,,,,,,,Tap the favorite icon.,,Add the current item to the favorites section.,,
,,,,,,,,,,,,,"Confirm that all favorite items display correctly with quantity controls 
and accurate pricing calculations.",,,,
,,,,,,,,,,,,,"Tap ""Add All to Cart"" button.",,Add all favorite items to the cart.,,
KAN-T27,Verify Review Item Functionality,Approved,,,"/Mobile App/Cart, Favorites and Review/Valid Test Cases",Normal,,,712020:137f6cee-63b3-40de-baf1-49186e642afd,,,,Tap the item.,,Navigate to item information.,,
,,,,,,,,,,,,,Submit product reviews using the 0-5 stars rating scale.,,Submitted rating displays accurately.,,
KAN-T28,Verify Cart Persistence,Approved,,,"/Mobile App/Cart, Favorites and Review/Valid Test Cases",Normal,,,712020:137f6cee-63b3-40de-baf1-49186e642afd,,,,Browse to an available product (in-stock),,,,
,,,,,,,,,,,,,Tap the item.,,Navigate to item information.,,
,,,,,,,,,,,,,Set a quantity to the maximum allowed value (12kg).,,Displays the set quantity and the price.,,
,,,,,,,,,,,,,"Tap ""Add to Cart"" Button.",,item added to the cart with the selected quantity.,,
,,,,,,,,,,,,,Close and reopen the application.,,,,
,,,,,,,,,,,,,Navigate to the Cart.,,Cart items persist across app sessions.,,
KAN-T29,Verify system behavior for out-of-stock items in cart,Approved,,,"/Mobile App/Cart, Favorites and Review/Valid Test Cases",Normal,,,712020:137f6cee-63b3-40de-baf1-49186e642afd,,,,Browse to an available product (in-stock),,,,
,,,,,,,,,,,,,Tap the item.,,Navigate to item information.,,
,,,,,,,,,,,,,Set a quantity to the maximum allowed value (12kg).,,Displays the set quantity and the price.,,
,,,,,,,,,,,,,"Tap ""Add to Cart"" Button.",,item added to the cart with the selected quantity.,,
,,,,,,,,,,,,,Force item to become out-of-stock (via admin panel).,,,,
,,,,,,,,,,,,,Refresh cart page.,,"Item remains in cart but shows ""Out of Stock"" status.
""Proceed""Checkout button becomes disabled.

",,
KAN-T31,Validate items Addition to cart with invalid quantity,Approved,,,"/Mobile App/Cart, Favorites and Review/Invalid Test Cases ",Normal,,,712020:137f6cee-63b3-40de-baf1-49186e642afd,,,,Enter existing and valid email.,totaXahmed@gmail.com ,,,
,,,,,,,,,,,,,Enter valid password for the email.,,,,
,,,,,,,,,,,,,"Tap the ""Login"" button.",,Navigate to the Home Page.,,
,,,,,,,,,,,,,"Tap the ""Forgot Password"" Link.

",,"Navigate to the ""Forgot Password"" page.",,
,,,,,,,,,,,,,"Tap the ""Don't have an account? signup"" link.",,Navigate to the Signup Page.,,
,,,,,,,,,,,,,Try login with another phone.,,The first device should force logout.,,
,,,,,,,,,,,,,Confirm a welcome message with the user’s first name.,,,,
,,,,,,,,,,,,,Confirm a search bar for grocery items (with auto-suggestions).,,,,
,,,,,,,,,,,,,"Confirm a section for ""Today’s Offers"".",,Automatically update with today's offers.,,
,,,,,,,,,,,,,"Confirm a Navigation Bar Icons for ""Shop"",""Explore,"" ""Cart,"" ""Favorite,"" 
and ""Profile"".",,,,
,,,,,,,,,,,,,Confirm categorized items.,,,,
,,,,,,,,,,,,,Browse to available product (in stock).,,,,
,,,,,,,,,,,,,Tap the item.,,,,
,,,,,,,,,,,,,Attempt to set quantity below minimum (0 kg) and above maximum (+12 kg).,,"""-"" button becomes disabled visually (greyed out) when reaching 1kg.
""+"" button becomes disabled visually (greyed out) when reaching 12kg.",,
KAN-T19,Verify Editable Profile Info,Approved,,,/Mobile App/Profile and Internet/Valid Test Cases,Normal,,Optional,712020:137f6cee-63b3-40de-baf1-49186e642afd,,,,Enter existing and valid email.,totaXahmed@gmail.com ,,,
,,,,,,,,,,,,,Enter valid password for the email.,,,,
,,,,,,,,,,,,,"Tap the ""Login"" button.",,Navigate to the Home Page.,,
,,,,,,,,,,,,,"Tap the ""Forgot Password"" Link.

",,"Navigate to the ""Forgot Password"" page.",,
,,,,,,,,,,,,,"Tap the ""Don't have an account? signup"" link.",,Navigate to the Signup Page.,,
,,,,,,,,,,,,,Try login with another phone.,,The first device should force logout.,,
,,,,,,,,,,,,,Confirm a welcome message with the user’s first name.,,,,
,,,,,,,,,,,,,Confirm a search bar for grocery items (with auto-suggestions).,,,,
,,,,,,,,,,,,,"Confirm a section for ""Today’s Offers"".",,Automatically update with today's offers.,,
,,,,,,,,,,,,,"Confirm a Navigation Bar Icons for ""Shop"",""Explore,"" ""Cart,"" ""Favorite,"" 
and ""Profile"".",,,,
,,,,,,,,,,,,,Confirm categorized items.,,,,
,,,,,,,,,,,,,"Tap the ""Shop"" Icon.",,"Navigate to the Shop page.

",,
,,,,,,,,,,,,,"Tap the ""Explore"" Icon.",,Navigate to the Explore page.,,
,,,,,,,,,,,,,"Tap the ""Cart"" Icon.",,Navigate to the Cart page.,,
,,,,,,,,,,,,,"Tap the ""Favorite"" Icon.",,Navigate to the Favorite page.,,
,,,,,,,,,,,,,"Tap the ""Profile"" Icon.",,Navigate to the Profile page.,,
,,,,,,,,,,,,,"Confirm displaying ""the user's full name"", ""phone number"", ""location"", 
""payment method"" and ""profile picture"" fields.

",,,,
,,,,,,,,,,,,,Enter the user's full name.,Hubert Blaine Wolfeschlegelsteinhausenbergerdorff Sr. Go ,update user data.,,
,,,,,,,,,,,,,Enter valid phone number,01005315572 ,update user data.,,
,,,,,,,,,,,,,Confirm and select a display location from the dropdown.,,update user data.,,
,,,,,,,,,,,,,Confirm and select a payment method from the display locations dropdown.,,update user data.,,
,,,,,,,,,,,,,"Tap the ""profile picture"" and browse for a picture.",,Update user profile picture.,,
,,,,,,,,,,,,,"Tap the ""Log Out"" button.",,Navigate to the Login Page.,,
KAN-T40,Verify cached pages load without internet,Approved,"Open app with internet (cache pages).
Disable internet connection.",,/Mobile App/Profile and Internet/Valid Test Cases,Low,,,712020:137f6cee-63b3-40de-baf1-49186e642afd,,,,Reload home page.,,,,
,,,,,,,,,,,,,Navigate to previously visited product pages.,,"Cached pages load from local storage.
Visible ""Offline Mode"" indicator.",,
KAN-T41,Validate search functionality without internet,Approved,,,/Mobile App/Profile and Internet/Invalid Test Cases,Low,,,712020:137f6cee-63b3-40de-baf1-49186e642afd,,,,Go offline.,,,,
,,,,,,,,,,,,,Enter search term in search bar.,,"Message: ""Search unavailable offline"".",,
KAN-T42,Validate cart and favorite list updates without internet,Approved,,,/Mobile App/Profile and Internet/Invalid Test Cases,Low,,,712020:137f6cee-63b3-40de-baf1-49186e642afd,,,,Enter existing and valid email.,totaXahmed@gmail.com ,,,
,,,,,,,,,,,,,Enter valid password for the email.,,,,
,,,,,,,,,,,,,"Tap the ""Login"" button.",,Navigate to the Home Page.,,
,,,,,,,,,,,,,"Tap the ""Forgot Password"" Link.

",,"Navigate to the ""Forgot Password"" page.",,
,,,,,,,,,,,,,"Tap the ""Don't have an account? signup"" link.",,Navigate to the Signup Page.,,
,,,,,,,,,,,,,Try login with another phone.,,The first device should force logout.,,
,,,,,,,,,,,,,Confirm a welcome message with the user’s first name.,,,,
,,,,,,,,,,,,,Confirm a search bar for grocery items (with auto-suggestions).,,,,
,,,,,,,,,,,,,"Confirm a section for ""Today’s Offers"".",,Automatically update with today's offers.,,
,,,,,,,,,,,,,"Confirm a Navigation Bar Icons for ""Shop"",""Explore,"" ""Cart,"" ""Favorite,"" 
and ""Profile"".",,,,
,,,,,,,,,,,,,Confirm categorized items.,,,,
,,,,,,,,,,,,,"Tap the ""Shop"" Icon.",,"Navigate to the Shop page.

",,
,,,,,,,,,,,,,"Tap the ""Explore"" Icon.",,Navigate to the Explore page.,,
,,,,,,,,,,,,,"Tap the ""Cart"" Icon.",,Navigate to the Cart page.,,
,,,,,,,,,,,,,"Tap the ""Favorite"" Icon.",,Navigate to the Favorite page.,,
,,,,,,,,,,,,,"Tap the ""Profile"" Icon.",,Navigate to the Profile page.,,
,,,,,,,,,,,,,Browse to an available product (in-stock),,,,
,,,,,,,,,,,,,Tap the item.,,Navigate to item information.,,
,,,,,,,,,,,,,Set a quantity to the maximum allowed value (12kg).,,Displays the set quantity and the price.,,
,,,,,,,,,,,,,"Tap ""Add to Cart"" Button.",,item added to the cart with the selected quantity.,,
,,,,,,,,,,,,,Confirm displaying all items added to the cart with the total cost.,,,,
,,,,,,,,,,,,,"Tap ""Proceed to Checkout"" button.",,Navigate to the checkout process.,,
,,,,,,,,,,,,,Go offline.,,,,
,,,,,,,,,,,,,"Attempt to Add new item (cached products), Remove existing item and Change 
quantities.",,"Message: ""unavailable offline"".",,
,,,,,,,,,,,,,Attempt to Add new item or remove from favorite list.,,"Message: ""unavailable offline"".",,
KAN-T44,Validate Editable Profile info with invalid data,Approved,,,/Mobile App/Profile and Internet/Invalid Test Cases,High,,,712020:137f6cee-63b3-40de-baf1-49186e642afd,,,,Enter existing and valid email.,totaXahmed@gmail.com ,,,
,,,,,,,,,,,,,Enter valid password for the email.,,,,
,,,,,,,,,,,,,"Tap the ""Login"" button.",,Navigate to the Home Page.,,
,,,,,,,,,,,,,"Tap the ""Forgot Password"" Link.

",,"Navigate to the ""Forgot Password"" page.",,
,,,,,,,,,,,,,"Tap the ""Don't have an account? signup"" link.",,Navigate to the Signup Page.,,
,,,,,,,,,,,,,Try login with another phone.,,The first device should force logout.,,
,,,,,,,,,,,,,Confirm a welcome message with the user’s first name.,,,,
,,,,,,,,,,,,,Confirm a search bar for grocery items (with auto-suggestions).,,,,
,,,,,,,,,,,,,"Confirm a section for ""Today’s Offers"".",,Automatically update with today's offers.,,
,,,,,,,,,,,,,"Confirm a Navigation Bar Icons for ""Shop"",""Explore,"" ""Cart,"" ""Favorite,"" 
and ""Profile"".",,,,
,,,,,,,,,,,,,Confirm categorized items.,,,,
,,,,,,,,,,,,,"Tap the ""Shop"" Icon.",,"Navigate to the Shop page.

",,
,,,,,,,,,,,,,"Tap the ""Explore"" Icon.",,Navigate to the Explore page.,,
,,,,,,,,,,,,,"Tap the ""Cart"" Icon.",,Navigate to the Cart page.,,
,,,,,,,,,,,,,"Tap the ""Favorite"" Icon.",,Navigate to the Favorite page.,,
,,,,,,,,,,,,,"Tap the ""Profile"" Icon.",,Navigate to the Profile page.,,
,,,,,,,,,,,,,Enter invalid phone number in the phone number field.,01000000000 ,Error message appears.,,
,,,,,,,,,,,,,Enter invalid user name in the user's full name field.,fat123ma ,Error message appears.,,
,,,,,,,,,,,,,Upload non picture file in the profile picture field.,,Error message appears.,,
,,,,,,,,,,,,,Enter existing and valid email.,totaXahmed@gmail.com ,,,
,,,,,,,,,,,,,Enter valid password for the email.,,,,
,,,,,,,,,,,,,"Tap the ""Login"" button.",,Navigate to the Home Page.,,
,,,,,,,,,,,,,"Tap the ""Forgot Password"" Link.

",,"Navigate to the ""Forgot Password"" page.",,
,,,,,,,,,,,,,"Tap the ""Don't have an account? signup"" link.",,Navigate to the Signup Page.,,
,,,,,,,,,,,,,Try login with another phone.,,The first device should force logout.,,
,,,,,,,,,,,,,Confirm a welcome message with the user’s first name.,,,,
,,,,,,,,,,,,,Confirm a search bar for grocery items (with auto-suggestions).,,,,
,,,,,,,,,,,,,"Confirm a section for ""Today’s Offers"".",,Automatically update with today's offers.,,
,,,,,,,,,,,,,"Confirm a Navigation Bar Icons for ""Shop"",""Explore,"" ""Cart,"" ""Favorite,"" 
and ""Profile"".",,,,
,,,,,,,,,,,,,Confirm categorized items.,,,,
,,,,,,,,,,,,,"Tap the ""Shop"" Icon.",,"Navigate to the Shop page.

",,
,,,,,,,,,,,,,"Tap the ""Explore"" Icon.",,Navigate to the Explore page.,,
,,,,,,,,,,,,,"Tap the ""Cart"" Icon.",,Navigate to the Cart page.,,
,,,,,,,,,,,,,"Tap the ""Favorite"" Icon.",,Navigate to the Favorite page.,,
,,,,,,,,,,,,,"Tap the ""Profile"" Icon.",,Navigate to the Profile page.,,
,,,,,,,,,,,,,Enter invalid phone number in the phone number field.,0105315572 ,Error message appears.,,
,,,,,,,,,,,,,Enter invalid user name in the user's full name field.,Invalid Name ,Error message appears.,,
,,,,,,,,,,,,,Upload non picture file in the profile picture field.,,Error message appears.,,
KAN-T32,Verify Payment Method Restrictions for First-Time Orders,Approved,New user account with no order history.,,/Mobile App/Payment and Track/Valid Test Cases,High,,,712020:137f6cee-63b3-40de-baf1-49186e642afd,,,,Enter existing and valid email.,totaXahmed@gmail.com ,,,
,,,,,,,,,,,,,Enter valid password for the email.,,,,
,,,,,,,,,,,,,"Tap the ""Login"" button.",,Navigate to the Home Page.,,
,,,,,,,,,,,,,"Tap the ""Forgot Password"" Link.

",,"Navigate to the ""Forgot Password"" page.",,
,,,,,,,,,,,,,"Tap the ""Don't have an account? signup"" link.",,Navigate to the Signup Page.,,
,,,,,,,,,,,,,Try login with another phone.,,The first device should force logout.,,
,,,,,,,,,,,,,Confirm a welcome message with the user’s first name.,,,,
,,,,,,,,,,,,,Confirm a search bar for grocery items (with auto-suggestions).,,,,
,,,,,,,,,,,,,"Confirm a section for ""Today’s Offers"".",,Automatically update with today's offers.,,
,,,,,,,,,,,,,"Confirm a Navigation Bar Icons for ""Shop"",""Explore,"" ""Cart,"" ""Favorite,"" 
and ""Profile"".",,,,
,,,,,,,,,,,,,Confirm categorized items.,,,,
,,,,,,,,,,,,,"Tap the ""Shop"" Icon.",,"Navigate to the Shop page.

",,
,,,,,,,,,,,,,"Tap the ""Explore"" Icon.",,Navigate to the Explore page.,,
,,,,,,,,,,,,,"Tap the ""Cart"" Icon.",,Navigate to the Cart page.,,
,,,,,,,,,,,,,"Tap the ""Favorite"" Icon.",,Navigate to the Favorite page.,,
,,,,,,,,,,,,,"Tap the ""Profile"" Icon.",,Navigate to the Profile page.,,
,,,,,,,,,,,,,Browse to an available product (in-stock),,,,
,,,,,,,,,,,,,Tap the item.,,Navigate to item information.,,
,,,,,,,,,,,,,Set a quantity to the maximum allowed value (12kg).,,Displays the set quantity and the price.,,
,,,,,,,,,,,,,"Tap ""Add to Cart"" Button.",,item added to the cart with the selected quantity.,,
,,,,,,,,,,,,,Confirm displaying all items added to the cart with the total cost.,,,,
,,,,,,,,,,,,,"Tap ""Proceed to Checkout"" button.",,Navigate to the checkout process.,,
,,,,,,,,,,,,,Confirm the order total price.,,,,
,,,,,,,,,,,,,Enter Promocode if available.,,Automatically update the order total price.,,
,,,,,,,,,,,,,Check available payment methods.,,"""Credit card"" payment must be available.
""Cash on Delivery"" option should be disabled/grayed.",,
,,,,,,,,,,,,,Select credit card option.,,,,
,,,,,,,,,,,,,Enter valid test payment details.,,,,
,,,,,,,,,,,,,Complete transaction.,,"Credit card transaction completes successfully.
Order confirmation received.
Order appears in user's order history.
Navigate to ""Your Order Has been Placed"" Page.

",,
KAN-T36,Verify Payment Method Restrictions for Subsequent Orders,Approved,,,/Mobile App/Payment and Track/Valid Test Cases,Normal,,,712020:137f6cee-63b3-40de-baf1-49186e642afd,,,,Confirm the order total price.,,,,
,,,,,,,,,,,,,Enter Promocode if available.,,Automatically update the order total price.,,
,,,,,,,,,,,,,Check available payment methods.,,"""Credit card"" payment must be available.
""Cash on Delivery"" option must be available.",,
,,,,,,,,,,,,,"Select credit card option and Enter valid test payment details then 
Complete transaction.",,"Credit card transaction completes successfully.
Order confirmation received.
Order appears in user's order history.
Navigate to ""Your Order Has been Placed"" Page.",,
,,,,,,,,,,,,,"Select ""Cash on Delivery"" option and Attempt to place the order.",,"Order confirmation received.
Order appears in user's order history.
Navigate to ""Your Order Has been Placed"" Page.",,
KAN-T37,Verify Order Has been Placed Page Functionality,Approved,Already Placed an Order.,,/Mobile App/Payment and Track/Valid Test Cases,Normal,,,712020:137f6cee-63b3-40de-baf1-49186e642afd,,,,"Tap the ""Track Order"" button.",,Navigate to Order Tracking Page.,,
,,,,,,,,,,,,,"Tap the ""Back to Home Page"" button.",,Navigate to Home Page.,,
KAN-T38,Verify Order Cancellation at Various Stages,Approved,Active order exists in the system.,,/Mobile App/Payment and Track/Valid Test Cases,Normal,,,712020:137f6cee-63b3-40de-baf1-49186e642afd,,,,"During payment processing, click ""Cancel Order""",,Cancellation succeeds immediately.,,
,,,,,,,,,,,,,Try cancel the Pending order.,,Cancellation succeeds immediately.,,
,,,,,,,,,,,,,Try cancel order during processing.,,Cancellation succeeds.,,
,,,,,,,,,,,,,Try cancel after shipping.,,Cancellation succeeds.,,
KAN-T39,Validate Payment with invalid Credit Card data,Approved,,,/Mobile App/Payment and Track/Invalid Test Cases,High,,,712020:137f6cee-63b3-40de-baf1-49186e642afd,,,,Enter existing and valid email.,totaXahmed@gmail.com ,,,
,,,,,,,,,,,,,Enter valid password for the email.,,,,
,,,,,,,,,,,,,"Tap the ""Login"" button.",,Navigate to the Home Page.,,
,,,,,,,,,,,,,"Tap the ""Forgot Password"" Link.

",,"Navigate to the ""Forgot Password"" page.",,
,,,,,,,,,,,,,"Tap the ""Don't have an account? signup"" link.",,Navigate to the Signup Page.,,
,,,,,,,,,,,,,Try login with another phone.,,The first device should force logout.,,
,,,,,,,,,,,,,Confirm a welcome message with the user’s first name.,,,,
,,,,,,,,,,,,,Confirm a search bar for grocery items (with auto-suggestions).,,,,
,,,,,,,,,,,,,"Confirm a section for ""Today’s Offers"".",,Automatically update with today's offers.,,
,,,,,,,,,,,,,"Confirm a Navigation Bar Icons for ""Shop"",""Explore,"" ""Cart,"" ""Favorite,"" 
and ""Profile"".",,,,
,,,,,,,,,,,,,Confirm categorized items.,,,,
,,,,,,,,,,,,,"Tap the ""Shop"" Icon.",,"Navigate to the Shop page.

",,
,,,,,,,,,,,,,"Tap the ""Explore"" Icon.",,Navigate to the Explore page.,,
,,,,,,,,,,,,,"Tap the ""Cart"" Icon.",,Navigate to the Cart page.,,
,,,,,,,,,,,,,"Tap the ""Favorite"" Icon.",,Navigate to the Favorite page.,,
,,,,,,,,,,,,,"Tap the ""Profile"" Icon.",,Navigate to the Profile page.,,
,,,,,,,,,,,,,Browse to an available product (in-stock),,,,
,,,,,,,,,,,,,Tap the item.,,Navigate to item information.,,
,,,,,,,,,,,,,Set a quantity to the maximum allowed value (12kg).,,Displays the set quantity and the price.,,
,,,,,,,,,,,,,"Tap ""Add to Cart"" Button.",,item added to the cart with the selected quantity.,,
,,,,,,,,,,,,,Confirm displaying all items added to the cart with the total cost.,,,,
,,,,,,,,,,,,,"Tap ""Proceed to Checkout"" button.",,Navigate to the checkout process.,,
,,,,,,,,,,,,,Select credit card option.,,,,
,,,,,,,,,,,,,Enter Invalid Card Number.,4111 1111 1111 1112 ,"Immediate error: ""Invalid card number"".

",,
,,,,,,,,,,,,,Enter Expired Card Details.,,"Immediate error: ""Expired Card"".



",,
,,,,,,,,,,,,,Enter invalid CVV (less than 3-digits),12 ,"Field-level error: ""Invalid security code"".

",,
,,,,,,,,,,,,,Enter Canceled/Blocked Card Details.,4222 2222 2222 2220 ,"Error: ""Card declined. Please use another payment method"".",,
,,,,,,,,,,,,,Try Complete Transaction with Blank Field.,,Errors for all required fields.,,
KAN-T43,Validate Payment without internet connection,Approved,,,/Mobile App/Payment and Track/Invalid Test Cases,High,,,712020:137f6cee-63b3-40de-baf1-49186e642afd,,,,Enter existing and valid email.,totaXahmed@gmail.com ,,,
,,,,,,,,,,,,,Enter valid password for the email.,,,,
,,,,,,,,,,,,,"Tap the ""Login"" button.",,Navigate to the Home Page.,,
,,,,,,,,,,,,,"Tap the ""Forgot Password"" Link.

",,"Navigate to the ""Forgot Password"" page.",,
,,,,,,,,,,,,,"Tap the ""Don't have an account? signup"" link.",,Navigate to the Signup Page.,,
,,,,,,,,,,,,,Try login with another phone.,,The first device should force logout.,,
,,,,,,,,,,,,,Confirm a welcome message with the user’s first name.,,,,
,,,,,,,,,,,,,Confirm a search bar for grocery items (with auto-suggestions).,,,,
,,,,,,,,,,,,,"Confirm a section for ""Today’s Offers"".",,Automatically update with today's offers.,,
,,,,,,,,,,,,,"Confirm a Navigation Bar Icons for ""Shop"",""Explore,"" ""Cart,"" ""Favorite,"" 
and ""Profile"".",,,,
,,,,,,,,,,,,,Confirm categorized items.,,,,
,,,,,,,,,,,,,"Tap the ""Shop"" Icon.",,"Navigate to the Shop page.

",,
,,,,,,,,,,,,,"Tap the ""Explore"" Icon.",,Navigate to the Explore page.,,
,,,,,,,,,,,,,"Tap the ""Cart"" Icon.",,Navigate to the Cart page.,,
,,,,,,,,,,,,,"Tap the ""Favorite"" Icon.",,Navigate to the Favorite page.,,
,,,,,,,,,,,,,"Tap the ""Profile"" Icon.",,Navigate to the Profile page.,,
,,,,,,,,,,,,,Browse to an available product (in-stock),,,,
,,,,,,,,,,,,,Tap the item.,,Navigate to item information.,,
,,,,,,,,,,,,,Set a quantity to the maximum allowed value (12kg).,,Displays the set quantity and the price.,,
,,,,,,,,,,,,,"Tap ""Add to Cart"" Button.",,item added to the cart with the selected quantity.,,
,,,,,,,,,,,,,Confirm displaying all items added to the cart with the total cost.,,,,
,,,,,,,,,,,,,"Tap ""Proceed to Checkout"" button.",,Navigate to the checkout process.,,
,,,,,,,,,,,,,"Disable internet connection and Attempt to Load payment page, Enter payment 
details.",,"System detects offline state immediately.
Error message: ""Payment unavailable offline. Please reconnect"".",,
,,,,,,,,,,,,,Try Disable internet mid-transaction.,,"System detects offline state immediately.
Error message: ""Payment unavailable offline. Please reconnect"".",,
